latent_dim=64, p=4, learning_rate=0.0001, normalize=True, best_result={'epoch': 57, 'ACC': 50.92, 'NMI': 22.05, 'PUR': 51.839999999999996}, final_result={'epoch': 149, 'ACC': 47.61, 'NMI': 28.59, 'PUR': 58.46}
latent_dim=64, p=4, learning_rate=0.0001, normalize=False, best_result={'epoch': 119, 'ACC': 93.01, 'NMI': 80.63, 'PUR': 93.01}, final_result={'epoch': 149, 'ACC': 93.01, 'NMI': 80.63, 'PUR': 93.01}
latent_dim=64, p=8, learning_rate=0.01, normalize=True, best_result={'epoch': 124, 'ACC': 53.86, 'NMI': 29.01, 'PUR': 54.230000000000004}, final_result={'epoch': 149, 'ACC': 53.86, 'NMI': 29.01, 'PUR': 54.230000000000004}
latent_dim=64, p=8, learning_rate=0.01, normalize=False, best_result={'epoch': 87, 'ACC': 88.6, 'NMI': 72.31, 'PUR': 88.6}, final_result={'epoch': 149, 'ACC': 84.93, 'NMI': 72.7, 'PUR': 84.93}
latent_dim=64, p=8, learning_rate=0.0001, normalize=True, best_result={'epoch': 91, 'ACC': 46.51, 'NMI': 19.55, 'PUR': 48.9}, final_result={'epoch': 149, 'ACC': 42.1, 'NMI': 17.5, 'PUR': 49.82}
latent_dim=64, p=8, learning_rate=0.0001, normalize=False, best_result={'epoch': 84, 'ACC': 92.28, 'NMI': 79.07, 'PUR': 92.28}, final_result={'epoch': 149, 'ACC': 92.10000000000001, 'NMI': 78.86999999999999, 'PUR': 92.10000000000001}
latent_dim=64, p=16, learning_rate=0.01, normalize=True, best_result={'epoch': 81, 'ACC': 43.93, 'NMI': 12.690000000000001, 'PUR': 44.85}, final_result={'epoch': 149, 'ACC': 37.5, 'NMI': 8.83, 'PUR': 40.26}
latent_dim=64, p=16, learning_rate=0.01, normalize=False, best_result={'epoch': 105, 'ACC': 90.99000000000001, 'NMI': 77.71000000000001, 'PUR': 90.99000000000001}, final_result={'epoch': 149, 'ACC': 79.03999999999999, 'NMI': 69.98, 'PUR': 83.09}
latent_dim=64, p=16, learning_rate=0.0001, normalize=True, best_result={'epoch': 92, 'ACC': 49.08, 'NMI': 18.81, 'PUR': 49.82}, final_result={'epoch': 149, 'ACC': 45.96, 'NMI': 17.66, 'PUR': 48.53}
latent_dim=64, p=16, learning_rate=0.0001, normalize=False, best_result={'epoch': 79, 'ACC': 91.91, 'NMI': 77.36, 'PUR': 91.91}, final_result={'epoch': 149, 'ACC': 90.62, 'NMI': 75.86, 'PUR': 90.62}
latent_dim=128, p=1, learning_rate=0.01, normalize=True, best_result={'epoch': 34, 'ACC': 82.54, 'NMI': 65.82000000000001, 'PUR': 82.54}, final_result={'epoch': 149, 'ACC': 75.74, 'NMI': 60.29, 'PUR': 79.60000000000001}
latent_dim=128, p=1, learning_rate=0.01, normalize=False, best_result={'epoch': 45, 'ACC': 95.77, 'NMI': 87.41, 'PUR': 95.77}, final_result={'epoch': 149, 'ACC': 95.77, 'NMI': 87.21, 'PUR': 95.77}
latent_dim=128, p=1, learning_rate=0.0001, normalize=True, best_result={'epoch': 91, 'ACC': 75.92, 'NMI': 49.480000000000004, 'PUR': 75.92}, final_result={'epoch': 149, 'ACC': 73.71, 'NMI': 46.92, 'PUR': 73.71}
latent_dim=128, p=1, learning_rate=0.0001, normalize=False, best_result={'epoch': 99, 'ACC': 93.75, 'NMI': 80.92, 'PUR': 93.75}, final_result={'epoch': 149, 'ACC': 89.89, 'NMI': 74.83, 'PUR': 89.89}
latent_dim=128, p=2, learning_rate=0.01, normalize=True, best_result={'epoch': 52, 'ACC': 71.88, 'NMI': 58.08, 'PUR': 80.15}, final_result={'epoch': 149, 'ACC': 67.83, 'NMI': 54.52, 'PUR': 77.94}
latent_dim=128, p=2, learning_rate=0.01, normalize=False, best_result={'epoch': 31, 'ACC': 95.96000000000001, 'NMI': 87.52, 'PUR': 95.96000000000001}, final_result={'epoch': 149, 'ACC': 90.07, 'NMI': 80.54, 'PUR': 90.07}
latent_dim=128, p=2, learning_rate=0.0001, normalize=True, best_result={'epoch': 135, 'ACC': 71.88, 'NMI': 46.739999999999995, 'PUR': 71.88}, final_result={'epoch': 149, 'ACC': 71.14, 'NMI': 45.28, 'PUR': 71.14}
latent_dim=128, p=2, learning_rate=0.0001, normalize=False, best_result={'epoch': 88, 'ACC': 95.59, 'NMI': 86.56, 'PUR': 95.59}, final_result={'epoch': 149, 'ACC': 95.59, 'NMI': 86.53, 'PUR': 95.59}
latent_dim=128, p=3, learning_rate=0.01, normalize=True, best_result={'epoch': 99, 'ACC': 78.12, 'NMI': 54.63, 'PUR': 78.12}, final_result={'epoch': 149, 'ACC': 72.06, 'NMI': 50.260000000000005, 'PUR': 72.06}
latent_dim=128, p=3, learning_rate=0.01, normalize=False, best_result={'epoch': 46, 'ACC': 94.85, 'NMI': 84.67, 'PUR': 94.85}, final_result={'epoch': 149, 'ACC': 73.16, 'NMI': 77.2, 'PUR': 85.28999999999999}
latent_dim=128, p=3, learning_rate=0.0001, normalize=True, best_result={'epoch': 71, 'ACC': 68.75, 'NMI': 41.65, 'PUR': 68.75}, final_result={'epoch': 149, 'ACC': 65.99000000000001, 'NMI': 39.910000000000004, 'PUR': 66.18}
latent_dim=128, p=3, learning_rate=0.0001, normalize=False, best_result={'epoch': 111, 'ACC': 94.49, 'NMI': 83.58, 'PUR': 94.49}, final_result={'epoch': 149, 'ACC': 75.18, 'NMI': 75.07000000000001, 'PUR': 84.56}
